county,year,month,rainfall_mm,temp_c
Nakuru,2023,12,106.64,16.02
Nakuru,2024,1,204.29,15.55
Nakuru,2024,2,81.19999999999999,16.06
Nakuru,2024,3,153.14000000000001,16.78
Nakuru,2024,4,627.9,16.12
Nakuru,2024,5,392.15000000000003,15.97
Nakuru,2024,6,69.0,14.5
Nakuru,2024,7,150.97,14.38
Nakuru,2024,8,85.55999999999999,14.07
Nakuru,2024,9,102.0,14.67
Nakuru,2024,10,68.82000000000001,15.31
Nakuru,2024,11,353.7,15.68
Nakuru,2024,12,124.93,15.11
Bungoma,2010,1,81.53,22.95
Bungoma,2010,2,141.12,23.95
Bungoma,2010,3,172.98,22.62
Bungoma,2010,4,254.4,22.59
Bungoma,2010,5,318.98999999999995,21.65
Bungoma,2010,6,104.4,20.83
Bungoma,2010,7,102.3,20.61
Bungoma,2010,8,123.69000000000001,21.12
Bungoma,2010,9,184.8,21.44
Bungoma,2010,10,202.11999999999998,21.56
Bungoma,2010,11,107.69999999999999,21.91
Bungoma,2010,12,67.58,21.48
Bungoma,2011,1,22.32,22.66
Bungoma,2011,2,24.08,24.13
Bungoma,2011,3,192.82,23.52
Bungoma,2011,4,165.9,23.2
Bungoma,2011,5,300.39,21.48
Bungoma,2011,6,172.20000000000002,20.52
Bungoma,2011,7,102.61,20.96
Bungoma,2011,8,281.48,20.39
Bungoma,2011,9,169.2,20.96
Bungoma,2011,10,249.23999999999998,21.44
Bungoma,2011,11,365.1,20.81
Bungoma,2011,12,69.44000000000001,21.17
Bungoma,2012,1,0.62,21.39
Bungoma,2012,2,18.27,22.13
Bungoma,2012,3,36.89,23.55
Bungoma,2012,4,386.70000000000005,21.36
Bungoma,2012,5,252.34000000000003,20.9
Bungoma,2012,6,210.9,20.32
Bungoma,2012,7,96.41,20.27
Bungoma,2012,8,168.64000000000001,20.69
Bungoma,2012,9,238.8,21.21
Bungoma,2012,10,171.43,21.66
Bungoma,2012,11,195.9,21.37
Bungoma,2012,12,162.44,21.47
Bungoma,2013,1,53.94,21.93
Bungoma,2013,2,32.199999999999996,22.68
Bungoma,2013,3,177.94,23.31
Bungoma,2013,4,338.4,21.26
Bungoma,2013,5,231.57,21.25
Bungoma,2013,6,63.3,20.72
Bungoma,2013,7,72.53999999999999,20.28
Bungoma,2013,8,164.60999999999999,20.67
Bungoma,2013,9,189.9,21.42
Bungoma,2013,10,141.98,21.55
Bungoma,2013,11,141.9,21.46
Bungoma,2013,12,106.33,21.53
Bungoma,2014,1,19.84,22.61
Bungoma,2014,2,33.04,23.42
Bungoma,2014,3,159.96,23.67
Bungoma,2014,4,81.60000000000001,22.91
Bungoma,2014,5,239.01,21.79
Bungoma,2014,6,115.5,21.08
Bungoma,2014,7,90.52,20.88
Bungoma,2014,8,147.86999999999998,20.46
Bungoma,2014,9,175.2,21.37
Bungoma,2014,10,303.48999999999995,21.14
Bungoma,2014,11,113.39999999999999,21.48
Bungoma,2014,12,78.74,21.81
Bungoma,2015,1,3.1,22.6
Bungoma,2015,2,22.959999999999997,25.17
Bungoma,2015,3,78.74,25.87
Bungoma,2015,4,238.5,21.5
Bungoma,2015,5,292.64,21.24
Bungoma,2015,6,198.0,20.71
Bungoma,2015,7,85.87,21.28
Bungoma,2015,8,138.57,21.77
Bungoma,2015,9,157.79999999999998,22.15
Bungoma,2015,10,218.54999999999998,22.4
Bungoma,2015,11,529.5,21.36
Bungoma,2015,12,164.29999999999998,21.66
Bungoma,2016,1,55.800000000000004,22.3
Bungoma,2016,2,7.83,23.32
Bungoma,2016,3,66.03,24.74
Bungoma,2016,4,264.6,22.36
Bungoma,2016,5,208.32,21.19
Bungoma,2016,6,84.6,20.66
Bungoma,2016,7,102.61,20.63
Bungoma,2016,8,63.24,21.42
Bungoma,2016,9,184.8,21.72
Bungoma,2016,10,123.69000000000001,22.32
Bungoma,2016,11,83.1,22.17
Bungoma,2016,12,12.709999999999999,23.55
Bungoma,2017,1,50.529999999999994,24.76
Bungoma,2017,2,107.52,24.6
Bungoma,2017,3,144.46,24.31
Bungoma,2017,4,128.1,23.74
Bungoma,2017,5,293.26000000000005,21.78
Bungoma,2017,6,134.1,21.44
Bungoma,2017,7,115.63,20.79
Bungoma,2017,8,170.5,21.27
